Sample	Engine	FDR	Accepted
MKK18	COMBINED	0.353	6291
MKK18	COMBINED	0.354	6291
MKK18	COMBINED	0.355	6299
MKK18	COMBINED	0.356	6299
MKK18	COMBINED	0.357	6299
MKK18	COMBINED	0.358	6354
MKK18	COMBINED	0.359	6354
MKK18	COMBINED	0.36	6376
MKK18	COMBINED	0.361	6376
MKK18	COMBINED	0.362	6380
MKK18	COMBINED	0.363	6380
MKK18	COMBINED	0.364	6476
MKK18	COMBINED	0.365	6476
MKK18	COMBINED	0.366	6500
MKK18	COMBINED	0.367	6514
MKK18	COMBINED	0.368	6514
MKK18	COMBINED	0.369	6560
MKK18	COMBINED	0.37	6565
MKK18	COMBINED	0.371	6581
MKK18	COMBINED	0.372	6585
MKK18	COMBINED	0.373	6585
MKK18	COMBINED	0.374	6585
MKK18	COMBINED	0.375	6728
MKK18	COMBINED	0.376	6728
MKK18	COMBINED	0.377	6728
MKK18	COMBINED	0.378	6732
MKK18	COMBINED	0.379	6732
MKK18	COMBINED	0.38	6757
MKK18	COMBINED	0.381	6795
MKK18	COMBINED	0.382	6795
MKK18	COMBINED	0.383	6795
MKK18	COMBINED	0.384	6795
MKK18	COMBINED	0.385	6878
MKK18	COMBINED	0.386	6878
MKK18	COMBINED	0.387	6882
MKK18	COMBINED	0.388	6882
MKK18	COMBINED	0.389	6919
MKK18	COMBINED	0.39	6919
MKK18	COMBINED	0.391	6919
MKK18	COMBINED	0.392	6945
MKK18	COMBINED	0.393	6958
MKK18	COMBINED	0.394	6962
MKK18	COMBINED	0.395	6966
MKK18	COMBINED	0.396	6966
MKK18	COMBINED	0.397	6966
MKK18	COMBINED	0.398	6966
MKK18	COMBINED	0.399	6966
MKK18	COMBINED	0.4	7291
MKK18	COMBINED	0.401	7368
MKK18	COMBINED	0.402	7410
MKK18	COMBINED	0.403	7410
MKK18	COMBINED	0.404	7410
MKK18	COMBINED	0.405	7423
MKK18	COMBINED	0.406	7425
MKK18	COMBINED	0.407	7429
MKK18	COMBINED	0.408	7436
MKK18	COMBINED	0.409	7436
MKK18	COMBINED	0.41	7441
MKK18	COMBINED	0.411	7441
MKK18	COMBINED	0.412	7488
MKK18	COMBINED	0.413	7488
MKK18	COMBINED	0.414	7492
MKK18	COMBINED	0.415	7494
MKK18	COMBINED	0.416	7494
MKK18	COMBINED	0.417	7590
MKK18	COMBINED	0.418	7593
MKK18	COMBINED	0.419	7593
MKK18	COMBINED	0.42	7607
MKK18	COMBINED	0.421	7607
MKK18	COMBINED	0.422	7641
